id;naissanceDate;naissanceLieu;profession;classe;matricule;engageVolontaire;engageAnnee;uniteAffectation;decesLieu;decesDepartement;decesAge;residenceCanton;residenceCommune;residenceAdresse;grade;lieuSepulture;matriculeArme
1;15/10/1884;Limoges;facteur;;;;;7 Régiment d'infanterie coloniale;Sainte Cohière - Château de Braux;Marne;30;Guérande;Saint-André-des-Eaux;;Soldat;Nécropole Nationale Sainte Menehould;0
2;;;;;;;;1 Régiment de tirailleurs  ;;;;Saint-Nazaire;Saint-Nazaire;;Soldat;Carré Militaire Toutes Aides - Saint Nazaire;0
3;11/08/1896;Ergué-Armel;;1916;;;;236 Régiment d'infanterie;Cerny en Laonnois;Aisne;21;Nantes;Nantes;;Soldat;Nécropole Nationale de Soupir 1;0
4;11/11/1895;Sainte-Pazanne;cultivateur;1915;1071;non;;2 Régiment d'infanterie coloniale;Berck-sur-mer;Pas-de-Calais;21;Pellerin, Le;Sainte-Pazanne;;Soldat;Carré Miitaire Berck Plage;1
5;13/05/1883;Roche-sur-Yon, La;;;;;;21 Régiment d'infanterie coloniale;Ecriennes;Marne;31;Nantes;Nantes;;Soldat;;0
6;24/04/1893;Nantes;mécanicien;1913;3400;oui;1913;30 Régiment de dragons;Tranchée des Tentes;Marne;22;Nantes;Nantes;;Soldat;;1
7;13/05/1880;Longeron;;;;;;10 Escadron du train des équipages;Nantes  ;Loire Inférieure;39;Nantes;Nantes;;Soldat;Cimetière de la Miséricorde - Nantes;0
8;11/02/1895;Nantes-Chantenay;cultivateur;1915;3938;non;;2 Régiment d'infanterie coloniale;Servon;Meuse;20;Nantes;Nantes;;Soldat;;1
9;20/08/1892;Nantes;cultivateur;1912;691;non;;68 Régiment d'infanterie;Poëlcapelle;Province de Flandre Occidentale;23;Carquefou;Carquefou;;Soldat;;1
10;16/07/1891;Campbon;employé de bureau;;;;;106 Régiment d'infanterie;Rembercourt;Meuse;23;Savenay;Campbon;Bourg;Soldat;;0
11;21/07/1876;Treffieux;instituteur;1896;1200;non;;81 Régiment d'infanterie territoriale; Wailly;Pas-de-Calais;29;Nantes;Nantes;;Caporal;Nécrople Nationale de Barly;1
12;30/01/1881;Marsac-sur-Don;cultivateur;1901;2146;non;;2 Régiment d'infanterie coloniale;Bois-de-la-Gruerie;Meuse;33;Guémené-Penfao;Marsac-sur-Don;;Soldat;;1
13;06/11/1881;Saint-Rémy-en-Mauges;cultivateur;1901;;;;64 Régiment d'infanterie;Saint-Aman-sur-Fion;Marne;33;Ancenis;Ancenis;Blordière, La;Soldat;Nécropole Nationale La Crouée - Souain Perthes les Hurlus;0
14;01/09/1893;Puteaux;manœoeuvre;1913;687;non;;407 Régiment d'infanterie;Vaux-le-Chapitre;Meuse;23;Nantes;Nantes;;Soldat;;1
15;20/08/1886;Nantes;cultivateur;;;;;265 Régiment d'infanterie;Touvent;Oise;28;Carquefou;Carquefou;;Adjudant;;0
16;19/09/1885;Saint-Herblain;cultivateur;1905;1463;non;;26 Régiment d'infanterie;Esnes;Meuse;30;Nantes;Saint-Herblain;;Soldat;;1
17;14/04/1895;Carquefou;cultivateur;1915;342;non;;23 Régiment d'infanterie coloniale;Paris;Seine;20;Carquefou;Carquefou;;Soldat;;1
18;19/09/1885;Saint-Herblain;cultivateur;;;;;26 Régiment d'infanterie;Haucourt;Meuse;32;Nantes;Saint-Herblain;;;;0
19;24/01/1885;Noirmoutier;manœoeuvre;1906;3647;non;;54 Régiment d'infanterie coloniale;Kenalie ;Serbie;30;Saint-Nazaire;Saint-Nazaire;;Soldat;;1
