@RELATION etTypeWriterSounds
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {charriot,clavier,clavier_multi,ding,tab,blanc}

@DATA
0.209583,0.000827,2.972825,0.422235,0.317398,1.067162,0.002736,0.417443,-33.935381,1.601350,0.305021,0.153365,0.056416,0.211923,0.018509,-0.088614,0.118761,0.335272,0.126867,0.031719,-0.009064,0.004641,0.001213,0.020806,0.001524,0.004705,0.002138,0.115816,0.002511,0.002786,0.011134,0.008666,0.001687,0.032880,0.104948,0.002192,0.273883,0.097866,0.047227,0.528821,0.002262,0.239685,2.530273,0.516296,0.344156,0.231895,0.159995,0.190925,0.206476,0.209470,0.144371,0.174550,0.225555,0.153986,0.145935,0.005172,0.001007,0.019066,0.001098,0.004055,0.002104,0.072414,0.002668,0.002832,0.017123,0.006265,0.001742,0.018520,charriot
0.156767,0.001533,2.933591,0.364602,0.301528,0.962910,0.002109,0.350734,-32.671297,1.484640,0.376350,0.189057,0.094660,0.321020,0.116311,-0.135230,0.108361,0.363344,0.151199,0.031547,0.037599,0.003445,0.001240,0.047363,0.002353,0.006471,0.003583,0.116763,0.003938,0.003051,0.008882,0.014948,0.001346,0.034931,0.084770,0.004271,0.241720,0.149355,0.072054,0.413422,0.001431,0.255160,3.607967,0.777822,0.389138,0.306661,0.316671,0.189438,0.274557,0.251463,0.237079,0.196647,0.142333,0.156674,0.183902,0.003865,0.001138,0.033668,0.001671,0.005278,0.004710,0.069834,0.005192,0.003651,0.010383,0.013510,0.001352,0.017728,charriot
0.245117,0.001006,2.805694,0.407771,0.310243,1.270072,0.001640,0.460177,-33.130749,1.225001,0.431021,0.053413,0.041051,0.323595,0.023212,-0.060299,0.127503,0.196117,0.101167,0.051261,-0.029054,0.003558,0.001509,0.024311,0.002005,0.003919,0.002380,0.093002,0.002478,0.002662,0.010066,0.009832,0.001624,0.026493,0.153618,0.003428,0.556951,0.182364,0.061182,0.563994,0.001235,0.365906,3.981996,0.814718,0.402523,0.316204,0.219064,0.265743,0.173473,0.214561,0.169031,0.169341,0.153343,0.181199,0.167796,0.003437,0.001500,0.025748,0.001997,0.003759,0.002795,0.061850,0.003091,0.003852,0.014583,0.009736,0.001613,0.017150,charriot
0.195869,0.000688,2.842266,0.386692,0.307228,1.201469,0.002105,0.411104,-33.449088,1.296478,0.376302,0.091086,0.073099,0.321350,0.025537,-0.094233,0.174017,0.352807,0.103123,0.033922,-0.004426,0.004949,0.001574,0.033966,0.001440,0.003359,0.002725,0.109442,0.004546,0.002605,0.006597,0.009642,0.001425,0.031112,0.113896,0.001946,0.430920,0.167915,0.066386,0.547647,0.001971,0.341397,3.431356,0.874601,0.370413,0.380906,0.270971,0.219841,0.161806,0.242028,0.229309,0.242312,0.167954,0.180395,0.191169,0.006620,0.001924,0.025140,0.001177,0.002246,0.002768,0.082316,0.007169,0.002469,0.007450,0.010366,0.001513,0.022451,charriot
0.124259,0.002868,2.952275,0.256043,0.240413,0.886122,0.003923,0.214534,-32.667039,1.895493,0.376939,0.461263,0.176354,0.118566,-0.077113,-0.243154,0.026892,0.103360,-0.261969,-0.065261,-0.127051,0.022573,0.001291,0.044427,0.005167,0.046193,0.002948,0.046507,0.001710,0.002032,0.004071,0.017137,0.002462,0.024046,0.061524,0.008924,0.325423,0.043436,0.019581,0.504348,0.002448,0.137870,2.705712,0.832514,0.371651,0.285439,0.231273,0.191012,0.220377,0.202781,0.210180,0.242976,0.188856,0.174551,0.179427,0.011914,0.001441,0.033056,0.005681,0.031303,0.002583,0.038816,0.002811,0.002206,0.003642,0.013996,0.003138,0.010919,charriot
0.038988,0.000629,2.587892,0.208000,0.255097,0.345522,0.017278,0.047018,-36.304572,1.883610,0.533509,0.577795,0.223085,0.080795,0.029845,-0.046650,0.075600,0.142009,0.017916,0.034791,0.052469,0.002068,0.000417,0.044211,0.001224,0.003238,0.001114,0.182789,0.000259,0.000880,0.003003,0.006816,0.000696,0.052364,0.028624,0.002450,0.530024,0.059200,0.081528,0.478742,0.017664,0.079488,4.022746,0.620174,0.260241,0.207495,0.251904,0.315560,0.277693,0.144207,0.150972,0.226611,0.191144,0.137179,0.167600,0.002023,0.000619,0.057161,0.000868,0.002705,0.001270,0.095364,0.000331,0.001678,0.002151,0.006173,0.001273,0.026803,clavier
0.068859,0.001299,2.590665,0.188012,0.203520,0.710182,0.008481,0.110303,-33.772205,1.474592,0.227938,0.389178,0.060332,-0.213245,-0.101753,-0.040530,0.115615,0.242693,0.098100,0.134794,0.183907,0.002580,0.000965,0.040401,0.001360,0.003888,0.002332,0.125601,0.001257,0.003793,0.004819,0.015589,0.001845,0.039757,0.046402,0.003889,0.646734,0.051216,0.069732,0.644696,0.008756,0.110864,3.537711,0.768793,0.268311,0.267702,0.178078,0.206952,0.320145,0.302618,0.299492,0.194360,0.161308,0.165161,0.120611,0.001953,0.000983,0.067252,0.001041,0.002538,0.002360,0.103544,0.001584,0.005264,0.004311,0.016170,0.002043,0.028509,clavier
0.049615,0.001298,2.325277,0.174664,0.201689,0.546094,0.010881,0.079417,-33.133286,1.460932,0.124480,0.401727,0.099675,-0.163291,-0.043350,-0.040894,0.186121,0.223937,-0.035501,0.098774,0.155388,0.001829,0.000870,0.023140,0.001042,0.003831,0.001582,0.127168,0.001388,0.003305,0.004855,0.015834,0.001194,0.035412,0.031285,0.002735,0.830368,0.038380,0.057232,0.544506,0.010526,0.099420,3.456936,0.898033,0.318046,0.378537,0.274663,0.259754,0.317988,0.178785,0.150298,0.153546,0.152699,0.097441,0.151929,0.002008,0.001127,0.019001,0.000612,0.003877,0.002945,0.090648,0.001850,0.004311,0.004913,0.024393,0.001593,0.024538,clavier
0.044843,0.000719,2.556493,0.168639,0.195073,0.596494,0.015274,0.083421,-33.272850,1.557526,0.294519,0.485108,0.139923,-0.079071,0.034038,-0.020470,0.154678,0.210080,0.059826,0.080510,0.130127,0.001887,0.000786,0.039058,0.001994,0.003817,0.001336,0.162607,0.001155,0.002610,0.007291,0.007451,0.000848,0.046083,0.030575,0.001524,0.527374,0.037237,0.060227,0.539938,0.016985,0.087745,3.324641,0.832412,0.289056,0.251913,0.238551,0.249620,0.222922,0.175533,0.183928,0.174951,0.175672,0.122170,0.164102,0.002065,0.000832,0.042534,0.002158,0.004590,0.001634,0.092794,0.002202,0.003144,0.008782,0.007565,0.000864,0.025799,clavier_multi
0.150667,0.002450,2.668231,0.287316,0.239511,1.120640,0.004399,0.252372,-32.467690,1.846113,0.580719,0.467589,0.207687,0.085993,-0.102891,-0.113512,0.107097,0.084102,-0.094595,0.062789,0.031127,0.005763,0.001391,0.074421,0.004926,0.038556,0.003638,0.052730,0.000750,0.001883,0.004333,0.019119,0.001348,0.030323,0.083979,0.006789,0.539170,0.054003,0.026512,0.709417,0.003108,0.201731,3.373666,0.744300,0.354970,0.272131,0.231862,0.234058,0.271228,0.206249,0.215446,0.222270,0.175435,0.175258,0.190361,0.005777,0.001523,0.073299,0.005785,0.034425,0.004351,0.043346,0.000894,0.002003,0.003439,0.019188,0.001189,0.020397,clavier_multi
