@RELATION knnTypeWriterSounds
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {charriot,clavier,ding,tab,blanc}

@DATA
0.111963,0.000894,2.772938,0.359662,0.336234,0.543574,0.008989,0.184803,-33.919813,1.955056,0.409213,0.283280,0.145139,0.227219,0.084880,-0.000949,0.051402,0.132052,0.050171,0.026662,-0.003303,0.002236,0.000487,0.029859,0.001103,0.002404,0.001346,0.212318,0.001064,0.001304,0.003809,0.008517,0.000769,0.059209,0.115877,0.001916,0.488448,0.130479,0.050167,0.429877,0.008568,0.259966,2.908054,0.551478,0.326564,0.223965,0.167291,0.174581,0.207750,0.190204,0.138814,0.172969,0.132752,0.113354,0.129758,0.002162,0.000550,0.031671,0.000971,0.002093,0.001301,0.085694,0.000872,0.001028,0.004260,0.008687,0.000704,0.022762,charriot
0.126501,0.000942,2.839603,0.420549,0.343388,0.595665,0.006339,0.242054,-34.757648,1.943377,0.345063,0.304534,0.138762,0.231394,0.114846,0.048740,0.064362,0.129382,0.064279,0.040935,0.026120,0.001640,0.000545,0.034737,0.001163,0.002724,0.001539,0.210152,0.001454,0.001283,0.003308,0.007308,0.000578,0.059046,0.087453,0.002284,0.275672,0.111045,0.041037,0.376098,0.006666,0.261481,2.475915,0.447767,0.250344,0.191604,0.188844,0.126207,0.167846,0.167983,0.129807,0.152790,0.128412,0.115266,0.121267,0.001857,0.000535,0.033965,0.000977,0.002673,0.002005,0.079969,0.001904,0.001564,0.003750,0.007739,0.000612,0.021427,charriot
0.165542,0.000891,2.844575,0.414197,0.343820,0.746665,0.005199,0.289352,-33.873260,1.880795,0.359825,0.301733,0.151184,0.251344,0.088959,0.024656,0.071239,0.107729,0.042575,0.040529,-0.007426,0.001650,0.000630,0.030162,0.001136,0.002203,0.001173,0.204155,0.001283,0.001492,0.004504,0.007796,0.000718,0.056812,0.116617,0.001969,0.358934,0.137735,0.043121,0.436967,0.005137,0.287805,3.117342,0.470412,0.246375,0.220816,0.161694,0.135907,0.144024,0.131325,0.105635,0.125926,0.120680,0.105468,0.118330,0.001453,0.000839,0.028133,0.001042,0.002061,0.001221,0.079338,0.001674,0.002228,0.005397,0.010152,0.000950,0.021627,charriot
0.204241,0.000633,2.879456,0.448321,0.345766,0.838574,0.017546,0.397507,-35.504295,2.011110,0.421491,0.331061,0.172564,0.229957,0.078935,0.043042,0.050105,0.114287,0.028715,0.034259,0.003927,0.002488,0.000503,0.030319,0.001262,0.002338,0.001308,0.192595,0.001378,0.000992,0.003022,0.007226,0.000616,0.053707,0.157866,0.001422,0.322639,0.140192,0.040761,0.611799,0.011456,0.344438,2.633479,0.472735,0.263746,0.202239,0.195418,0.158622,0.186259,0.158442,0.156362,0.161153,0.145223,0.134058,0.128255,0.003478,0.000612,0.025702,0.001655,0.002440,0.001785,0.096645,0.002531,0.000900,0.004404,0.008731,0.000788,0.026244,charriot
0.836723,0.034975,3.311570,0.737156,0.251495,1.864046,0.000436,0.979708,-28.515140,0.121540,-0.048836,0.043041,-0.029668,0.011950,0.024350,0.025421,0.013636,0.013897,0.005708,-0.017164,0.002274,0.000066,0.000071,0.000156,0.000136,0.000233,0.000308,0.000425,0.000488,0.000608,0.000555,0.000073,0.000051,0.000292,0.005444,0.004021,0.006474,0.005005,0.003459,0.034902,0.000048,0.002317,0.201182,0.177543,0.130047,0.132614,0.142006,0.128552,0.125722,0.134764,0.144274,0.112180,0.129815,0.131161,0.132512,0.000027,0.000032,0.000060,0.000077,0.000160,0.000259,0.000276,0.000407,0.000428,0.000462,0.000031,0.000023,0.000123,clavier
0.834037,0.044622,3.313393,0.729539,0.257884,1.895732,0.000431,0.978954,-27.563145,0.193227,-0.098687,0.059280,0.002174,0.021900,-0.027684,-0.007912,0.009850,-0.010362,-0.021343,-0.000910,0.008120,0.000090,0.000072,0.000173,0.000174,0.000213,0.000327,0.000530,0.000471,0.000698,0.000662,0.000103,0.000061,0.000310,0.005571,0.001592,0.003984,0.002835,0.001790,0.026171,0.000048,0.002694,0.126540,0.155139,0.137507,0.158277,0.123706,0.152483,0.100628,0.120696,0.118345,0.134021,0.155170,0.123276,0.133679,0.000037,0.000028,0.000058,0.000100,0.000131,0.000256,0.000323,0.000329,0.000420,0.000515,0.000043,0.000024,0.000124,clavier
0.833908,0.044876,3.312452,0.729736,0.257936,1.892092,0.000435,0.979358,-27.543905,0.226956,-0.082312,0.020250,-0.053738,-0.045264,-0.030655,-0.027428,-0.010603,0.025346,-0.011610,-0.015524,-0.007596,0.000086,0.000088,0.000174,0.000196,0.000234,0.000334,0.000429,0.000453,0.000605,0.000497,0.000100,0.000059,0.000285,0.003905,0.001910,0.004326,0.003280,0.001609,0.028565,0.000064,0.002953,0.112232,0.119175,0.155231,0.144014,0.159595,0.141274,0.116364,0.117244,0.101826,0.137637,0.134835,0.126104,0.124143,0.000033,0.000032,0.000064,0.000123,0.000127,0.000259,0.000239,0.000429,0.000753,0.000390,0.000029,0.000020,0.000181,clavier
0.839041,0.031554,3.310595,0.741403,0.248315,1.844218,0.000445,0.979970,-28.871589,0.119596,-0.048360,0.027160,-0.008796,0.000250,-0.011632,0.009553,-0.004333,0.006990,0.004043,0.008799,0.012529,0.000064,0.000062,0.000131,0.000134,0.000226,0.000273,0.000470,0.000453,0.000600,0.000537,0.000067,0.000048,0.000295,0.006198,0.005858,0.008764,0.007577,0.006119,0.044301,0.000035,0.002489,0.267533,0.163086,0.138399,0.144516,0.134014,0.134891,0.144265,0.124929,0.133492,0.145481,0.134522,0.131293,0.119672,0.000030,0.000031,0.000062,0.000080,0.000143,0.000191,0.000326,0.000373,0.000571,0.000464,0.000035,0.000023,0.000157,clavier
0.837599,0.035247,3.310286,0.737395,0.251463,1.861478,0.000446,0.980313,-28.475064,0.164719,-0.045594,0.022369,-0.031134,-0.001313,0.038580,0.005044,-0.019324,-0.001820,0.005188,-0.004373,-0.010485,0.000068,0.000068,0.000149,0.000146,0.000226,0.000295,0.000458,0.000507,0.000648,0.000671,0.000077,0.000051,0.000314,0.005700,0.004019,0.009142,0.004652,0.003491,0.035698,0.000044,0.002082,0.180329,0.137719,0.138805,0.115688,0.116208,0.131492,0.120894,0.127256,0.124993,0.129394,0.115641,0.123128,0.128443,0.000027,0.000030,0.000065,0.000070,0.000148,0.000205,0.000324,0.000422,0.000517,0.000513,0.000027,0.000021,0.000150,ding
0.837846,0.031118,3.311791,0.740552,0.248634,1.849435,0.000447,0.979701,-28.876785,0.083237,-0.078076,0.033941,-0.001181,0.013790,0.003917,0.019821,0.008764,0.005725,-0.009815,-0.027763,0.006623,0.000062,0.000064,0.000135,0.000163,0.000199,0.000276,0.000482,0.000390,0.000541,0.000546,0.000067,0.000048,0.000286,0.005049,0.005252,0.008353,0.006690,0.005556,0.035623,0.000031,0.002627,0.252719,0.161694,0.127155,0.132049,0.141052,0.126317,0.146586,0.133793,0.130944,0.138768,0.130907,0.125541,0.120254,0.000028,0.000030,0.000060,0.000115,0.000139,0.000211,0.000350,0.000300,0.000486,0.000497,0.000033,0.000026,0.000134,ding
